Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R10/current/IRIDIUM/,SDN:R10::IRIDIUM,Iridium transmission system,IRIDIUM,Iridium transmission system,1,false,2020-04-07 22:59:46.0
http://vocab.nerc.ac.uk/collection/R10/current/ORBCOMM/,SDN:R10::ORBCOMM,Orbcomm transmission system,ORBCOMM,Orbcomm transmission system,1,false,2020-04-07 22:59:46.0
http://vocab.nerc.ac.uk/collection/R10/current/ARGOS/,SDN:R10::ARGOS,Argos transmission system,ARGOS,Argos transmission system,1,false,2020-04-07 22:59:46.0

