Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_DOWN_IRR380/,SDN:R25::RADIOMETER_DOWN_IRR380,Radiometer measuring downwelling irradiance at 380 nanometers,RADIOMETER_DOWN_IRR380,Radiometer measuring downwelling irradiance at 380 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_UP_RAD443/,SDN:R25::RADIOMETER_UP_RAD443,Radiometer measuring upwelling radiance at 443 nanometers,RADIOMETER_UP_RAD443,Radiometer measuring upwelling radiance at 443 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_UP_RAD555/,SDN:R25::RADIOMETER_UP_RAD555,Radiometer measuring upwelling radiance at 555 nanometers,RADIOMETER_UP_RAD555,Radiometer measuring upwelling radiance at 555 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/BACKSCATTERINGMETER_BBP532/,SDN:R25::BACKSCATTERINGMETER_BBP532,Backscattering meter measuring backscattering at 532 nanometers,BACKSCATTERINGMETER_BBP532,Backscattering meter measuring backscattering at 532 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/TRANSMISSOMETER_CP660/,SDN:R25::TRANSMISSOMETER_CP660,Transmissometer measuring attenuation at 660 nanometers,TRANSMISSOMETER_CP660,Transmissometer measuring attenuation at 660 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/CTD_PRES/,SDN:R25::CTD_PRES,Conductivity Temperature Depth (CTD) sensors package measuring pressure,CTD_PRES,Conductivity Temperature Depth (CTD) sensors package measuring pressure,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_DOWN_IRR555/,SDN:R25::RADIOMETER_DOWN_IRR555,Radiometer measuring downwelling irradiance at 555 nanometers,RADIOMETER_DOWN_IRR555,Radiometer measuring downwelling irradiance at 555 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/OPTODE_DOXY/,SDN:R25::OPTODE_DOXY,Optode measuring dissolved oxygen,OPTODE_DOXY,"An optical dissolved oxygen sensor, also known as optode",1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/STS_CNDC/,SDN:R25::STS_CNDC,Surface Temperature and Salinity (STS) sensor measuring conductivity,STS_CNDC,Surface Temperature and Salinity (STS) sensor measuring conductivity,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_UP_RAD490/,SDN:R25::RADIOMETER_UP_RAD490,Radiometer measuring upwelling radiance at 490 nanometers,RADIOMETER_UP_RAD490,Radiometer measuring upwelling radiance at 490 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_DOWN_IRR412/,SDN:R25::RADIOMETER_DOWN_IRR412,Radiometer measuring downwelling irradiance at 412 nanometers,RADIOMETER_DOWN_IRR412,Radiometer measuring downwelling irradiance at 412 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/CTD_TEMP/,SDN:R25::CTD_TEMP,Conductivity Temperature Depth (CTD) sensors package measuring temperature,CTD_TEMP,Conductivity Temperature Depth (CTD) sensors package measuring temperature,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_PAR/,SDN:R25::RADIOMETER_PAR,Radiometer measuring Photosynthetically Active Radiation (PAR),RADIOMETER_PAR,Radiometer measuring Photosynthetically Active Radiation (PAR),1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_DOWN_IRR443/,SDN:R25::RADIOMETER_DOWN_IRR443,Radiometer measuring downwelling irradiance at 443 nanometers,RADIOMETER_DOWN_IRR443,Radiometer measuring downwelling irradiance at 443 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/FLUOROMETER_CDOM/,SDN:R25::FLUOROMETER_CDOM,Fluorometer measuring Colored Dissolved Organic Matter (CDOM),FLUOROMETER_CDOM,Fluorometer measuring Colored Dissolved Organic Matter (CDOM),1,false,2019-10-11 15:06:36.0
