Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R25/current/TRANSISTOR_PH/,SDN:R25::TRANSISTOR_PH,Transistor measuring pH,TRANSISTOR_PH,Transistor measuring pH,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_UP_RAD412/,SDN:R25::RADIOMETER_UP_RAD412,Radiometer measuring upwelling radiance at 412 nanometers,RADIOMETER_UP_RAD412,Radiometer measuring upwelling radiance at 412 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/BACKSCATTERINGMETER_TURBIDITY/,SDN:R25::BACKSCATTERINGMETER_TURBIDITY,Backscattering meter measuring turbidity,BACKSCATTERINGMETER_TURBIDITY,Backscattering meter measuring turbidity,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/STS_TEMP/,SDN:R25::STS_TEMP,Surface Temperature and Salinity (STS) sensor measuring temperature,STS_TEMP,Surface Temperature and Salinity (STS) sensor measuring temperature,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/ACOUSTIC/,SDN:R25::ACOUSTIC,Acoustic sensor,ACOUSTIC,Acoustic sensor,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/ACOUSTIC_GEOLOCATION/,SDN:R25::ACOUSTIC_GEOLOCATION,Acoustic sensor measuring geolocation,ACOUSTIC_GEOLOCATION,Acoustic sensor for geolocation,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/CTD_CNDC/,SDN:R25::CTD_CNDC,Conductivity Temperature Depth (CTD) sensors package measuring conductivity,CTD_CNDC,Conductivity Temperature Depth (CTD) sensors package measuring conductivity,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/RADIOMETER_DOWN_IRR490/,SDN:R25::RADIOMETER_DOWN_IRR490,Radiometer measuring downwelling irradiance at 490 nanometers,RADIOMETER_DOWN_IRR490,Radiometer measuring downwelling irradiance at 490 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/IDO_DOXY/,SDN:R25::IDO_DOXY,Integrated Dissolved Oxygen (IDO) sensor measuring dissolved oxygen,IDO_DOXY,A type of electrochemical dissolved oxygen sensor called Integrated Dissolved Oxygen (IDO),1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/SPECTROPHOTOMETER_NITRATE/,SDN:R25::SPECTROPHOTOMETER_NITRATE,Spectrophotometer measuring nitrate,SPECTROPHOTOMETER_NITRATE,Spectrophotometer measuring nitrate concentration,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/FLOATCLOCK_MTIME/,SDN:R25::FLOATCLOCK_MTIME,Clock on float measuring time,FLOATCLOCK_MTIME,Fractional day of the individual measurement relative to JULD of the station,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/SPECTROPHOTOMETER_BISULFIDE/,SDN:R25::SPECTROPHOTOMETER_BISULFIDE,Spectrophotometer measuring bisulfide,SPECTROPHOTOMETER_BISULFIDE,Spectrophotometer measuring bisulfide concentration,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/BACKSCATTERINGMETER_BBP700/,SDN:R25::BACKSCATTERINGMETER_BBP700,Backscattering meter measuring backscattering at 700 nanometers,BACKSCATTERINGMETER_BBP700,Backscattering meter measuring backscattering at 700 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/BACKSCATTERINGMETER_BBP470/,SDN:R25::BACKSCATTERINGMETER_BBP470,Backscattering meter measuring backscattering at 470 nanometers,BACKSCATTERINGMETER_BBP470,Backscattering meter measuring backscattering at 470 nm wavelength,1,false,2021-02-09 15:34:44.0
http://vocab.nerc.ac.uk/collection/R25/current/EM/,SDN:R25::EM,Electromagnetic sensor,EM,Electromagnetic sensor package measuring velocity and turbulence,1,false,2019-10-11 15:06:36.0
http://vocab.nerc.ac.uk/collection/R25/current/FLUOROMETER_CHLA/,SDN:R25::FLUOROMETER_CHLA,Fluorometer measuring chlorophyll-a,FLUOROMETER_CHLA,Fluorometer measuring chlorophyll-a concentration,1,false,2019-10-11 15:06:36.0

