Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R03/current/TEMP/,SDN:R03::TEMP,Sea temperature in-situ ITS-90 scale,TEMP,Temperature of the water body expressed against the International Temperature Scale 1990 (ITS-90) calibration standard.,1,FALSE,02:22.0
http://vocab.nerc.ac.uk/collection/R03/current/CHLA/,SDN:R03::CHLA,Chlorophyll-a concentration,CHLA,Chlorophyll-a concentration (mg/m^3).,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/TURBIDITY/,SDN:R03::TURBIDITY,seawater turbidity,TURBIDITY,Turbidity (NTU) of seawater.,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/MLPL_DOXY/,SDN:R03::MLPL_DOXY,Oxygen concentration reported by the oxygen sensor,MLPL_DOXY,Dissolved oxygen concentration (ml/l) uncorrected for salinity and pressure effects.,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/BISULFIDE/,SDN:R03::BISULFIDE,Bisulfide concentration,BISULFIDE,Bisulfide concentration (umol/kg).,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/NITRATE/,SDN:R03::NITRATE,Nitrate concentration,NITRATE,Nitrate concentration (umol/kg).,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/DOXY/,SDN:R03::DOXY,Dissolved oxygen concentration,DOXY,Dissolved oxygen concentration (umol/kg).,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/TEMP_CPU_CHLA/,SDN:R03::TEMP_CPU_CHLA,Thermistor signal from backsacttering meter and/or fluorometer,TEMP_CPU_CHLA,Raw temperature signal (count) from thermistor on backscattering meter and/or fluorometer.,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/BETA_BACKSCATTERING532/,SDN:R03::BETA_BACKSCATTERING532,Total angle specific volume from backscattering sensor at 532 nanometers,BETA_BACKSCATTERING532,Raw backscattering signal (count) from backscattering meter at 532 nm wavelength.,1,FALSE,05:33.0
http://vocab.nerc.ac.uk/collection/R03/current/RAW_UPWELLING_RADIANCE490/,SDN:R03::RAW_UPWELLING_RADIANCE490,Raw upwelling radiance at 490 nanometers,RAW_UPWELLING_RADIANCE490,Raw upwelling radiance signal (count) at 490 nm wavelength.,1,FALSE,05:33.0
